block,feature,ks_stat,p_value
8,V6,0.1032023682460082,4.060787665454789e-67
8,V7,0.11731794165044285,1.1522706523180402e-86
8,V8,0.09470521208542543,1.4375567875753592e-56
8,V9,0.33467884676992177,0.0
8,V10,0.18593041093907903,4.989337868614355e-218
8,V11,0.3501192629712587,0.0
8,V12,0.5276561983756736,0.0
8,V13,0.3724941164661426,0.0
8,V14,0.41545969242700287,0.0
8,V15,0.10873321643175482,1.781906575492365e-74
8,V16,0.038270401022724054,1.385861544238914e-09
8,V17,0.23920642225386263,0.0
8,V18,0.06356379011012536,1.0753465416040213e-25
8,V19,0.06327537987799076,1.8216356351422297e-25
8,V20,0.15393140298742414,3.2665499259722085e-149
8,V21,0.28611226416599195,0.0
8,V22,0.2594630583531091,0.0
8,V23,0.17786936327973757,1.9439747170661722e-199
8,V24,0.08947612036094943,1.5692181771293021e-50
8,V25,0.26443109427668776,0.0
8,V26,0.12360060249789717,3.522763590651974e-96
8,V27,0.04711338111368779,2.6345427198252486e-14
8,V28,0.3156251579081344,0.0
8,Amount,0.14033998404759046,5.455500065707962e-124
9,V1,0.42581258639361885,0.0
9,V2,0.1685608146366594,5.667514581936202e-183
9,V3,0.5884492968182166,0.0
9,V4,0.18408858307945553,2.0159201740912724e-218
9,V5,0.2089625322908638,6.163496962122895e-282
9,V6,0.12757286017167668,1.0369038403124606e-104
9,V7,0.12787619658655125,3.292144470936099e-105
9,V8,0.0983208100671889,2.771141441754443e-62
9,V9,0.3367926132592334,0.0
9,V10,0.16623207806616325,6.213362229876468e-178
9,V11,0.35311241525541737,0.0
9,V12,0.5300762342307229,0.0
9,V13,0.36154876513247547,0.0
9,V14,0.39497248704473287,0.0
9,V15,0.11015066433907905,4.193533940498518e-78
9,V16,0.021409748902647907,0.002339252319773844
9,V17,0.23829690044383872,0.0
9,V18,0.07181768663636168,2.1105376520465337e-33
9,V19,0.06819153201223416,3.738938994360576e-30
9,V20,0.17586829011067218,2.9567832670708466e-199
9,V21,0.28210576488129296,0.0
9,V22,0.2651093886232865,0.0
9,V23,0.1730719766478631,6.101302227729265e-193
9,V24,0.09217099193884004,8.944020468315122e-55
9,V25,0.26250998667744724,0.0
9,V26,0.12549148958009304,2.5247502634438396e-101
9,V27,0.04808348487966607,3.339852739401914e-15
9,V28,0.3165426813957808,0.0
9,Amount,0.11158915967060812,3.759982798665289e-80
10,V1,0.4361740206777026,0.0
10,V2,0.1584280707281685,5.260109082865328e-162
10,V3,0.5864664216928291,0.0
10,V4,0.1983923167331375,1.2833213125609201e-254
10,V5,0.19010448954281045,1.1820677245890948e-233
10,V6,0.1402211102830243,7.524526215257016e-127
10,V7,0.10965233535323426,1.3066243786158481e-77
10,V8,0.07290802214441805,1.6678746106046293e-34
10,V9,0.3332133105940941,0.0
10,V10,0.1480050784528747,2.4076681530462433e-141
10,V11,0.35866743580684185,0.0
10,V12,0.5327369004185004,0.0
10,V13,0.358701911889272,0.0
10,V14,0.40641171818938104,0.0
10,V15,0.11555177016850826,3.6615461085481714e-86
10,V16,0.03591109688929539,1.0847553124897588e-08
10,V17,0.2279534633450253,0.0
10,V18,0.06480023066514717,2.4258807068096263e-27
10,V19,0.08183556187234325,2.2645116699885073e-43
10,V20,0.17830867690479313,2.0826309563028514e-205
10,V21,0.24806456163143686,0.0
10,V22,0.23363855940412626,0.0
10,V23,0.19816914346081416,4.841677798822355e-254
10,V24,0.09101571685096943,1.4569342128297443e-53
10,V25,0.29503995271338845,0.0
10,V26,0.12980254968558147,1.0750521180458198e-108
10,V27,0.044970878781530166,2.1868342973375594e-13
10,V28,0.3189605699874727,0.0
10,Amount,0.07073961787337013,1.662501293609753e-32
11,V1,0.4151084951103885,0.0
11,V2,0.09802203165299433,4.422367497876793e-59
11,V3,0.593347831677553,0.0
11,V4,0.21188597261122688,1.2356237611157725e-276
11,V5,0.21502918529467996,5.609957360084041e-285
11,V6,0.155564631225603,1.2770725883393214e-148
11,V7,0.128141662818491,8.2966718984586e-101
11,V8,0.061272939653576663,2.5422897418686682e-23
11,V9,0.34218297441397943,0.0
11,V10,0.11686582877242963,7.191395377635476e-84
11,V11,0.3520243612337767,0.0
