mode,seed,test_block,n_train,n_test,train_blocks,test_frauds,train_fraud_rate_pct,test_fraud_rate_pct,pr_auc,roc_auc,mcc,precision,recall,fit_seconds
expanding,44,3,93916,50318,3,55,0.2310575407811236,0.10930482133630112,0.7158201078180553,0.9238959436997756,0.8099952088955256,0.95,0.6909090909090909,1.0
expanding,44,4,144234,11547,4,60,0.18858244241995645,0.5196154845414394,0.829703291402361,0.9934563709700821,0.8098750435308707,0.8392857142857143,0.7833333333333333,1.4
expanding,44,5,155781,35732,5,27,0.21311970009179554,0.07556252098958917,0.7273279785890768,0.975014392630973,0.7311152285831649,0.76,0.7037037037037037,1.4
expanding,44,6,191513,49390,6,62,0.18745463754418762,0.12553148410609435,0.8290789479467153,0.9858462248752262,0.8326351849526548,1.0,0.6935483870967742,1.6
expanding,44,7,240903,42823,7,52,0.17475913541965024,0.12143007262452421,0.7671264078254849,0.9848580904027351,0.8214350243152893,0.9487179487179487,0.7115384615384616,1.9
sliding,42,2,47189,46727,2,71,0.30939413846447267,0.15194641213859225,0.8113339052935451,0.9743485130605305,0.8046989176206644,1.0,0.647887323943662,0.7
sliding,42,3,81620,50318,2,55,0.19848076451850039,0.10930482133630112,0.7202410727792217,0.93267558098945,0.8099952088955256,0.95,0.6909090909090909,0.9
sliding,42,4,97045,11547,2,60,0.12983667370807356,0.5196154845414394,0.8064877182479755,0.9840051072226575,0.8586648488612698,0.9230769230769231,0.8,1.0
sliding,42,5,61865,35732,2,27,0.1858886284652065,0.07556252098958917,0.7017925259823437,0.9633467664555747,0.722122944622136,0.782608695652174,0.6666666666666666,0.8
sliding,42,6,47279,49390,2,62,0.18401404429027685,0.12553148410609435,0.8360670764061046,0.9673874943760268,0.8132472380227487,0.9767441860465116,0.6774193548387096,0.7
sliding,42,7,85122,42823,2,52,0.10455581400812951,0.12143007262452421,0.7681836301595942,0.9831594196642944,0.8321908134195791,0.9736842105263158,0.7115384615384616,1.0
sliding,43,2,47189,46727,2,71,0.30939413846447267,0.15194641213859225,0.8123619156171543,0.9758782892830232,0.8046989176206644,1.0,0.647887323943662,0.7
sliding,43,3,81620,50318,2,55,0.19848076451850039,0.10930482133630112,0.7144990504342276,0.9334558404609934,0.8099952088955256,0.95,0.6909090909090909,0.9
sliding,43,4,97045,11547,2,60,0.12983667370807356,0.5196154845414394,0.7698705451327734,0.9821508371782595,0.8586648488612698,0.9230769230769231,0.8,1.0
sliding,43,5,61865,35732,2,27,0.1858886284652065,0.07556252098958917,0.650374751155722,0.9658663845192342,0.7383731396330497,0.8181818181818182,0.6666666666666666,0.8
sliding,43,6,47279,49390,2,62,0.18401404429027685,0.12553148410609435,0.8383387268894423,0.9659161060132047,0.8228880889846835,1.0,0.6774193548387096,0.7
sliding,43,7,85122,42823,2,52,0.10455581400812951,0.12143007262452421,0.7692177917120085,0.9816653267940355,0.8321908134195791,0.9736842105263158,0.7115384615384616,0.9
sliding,44,2,47189,46727,2,71,0.30939413846447267,0.15194641213859225,0.8070760311381362,0.9725832705423212,0.8046989176206644,1.0,0.647887323943662,0.7
sliding,44,3,81620,50318,2,55,0.19848076451850039,0.10930482133630112,0.7191320427627055,0.9341474751895936,0.8000411575172929,0.926829268292683,0.6909090909090909,0.9
sliding,44,4,97045,11547,2,60,0.12983667370807356,0.5196154845414394,0.7987003917493725,0.9828646876178869,0.8586648488612698,0.9230769230769231,0.8,1.0
sliding,44,5,61865,35732,2,27,0.1858886284652065,0.07556252098958917,0.6383488641796495,0.9634992505458827,0.6973144902694383,0.7727272727272727,0.6296296296296297,0.8
sliding,44,6,47279,49390,2,62,0.18401404429027685,0.12553148410609435,0.834278834624849,0.9699421515490776,0.8326351849526548,1.0,0.6935483870967742,0.7
sliding,44,7,85122,42823,2,52,0.10455581400812951,0.12143007262452421,0.7727028825994798,0.9806071421505944,0.8321908134195791,0.9736842105263158,0.7115384615384616,1.0
