timestamp,model,split,imbalance_strategy,notes,precision,recall,f1,pr_auc,mcc,roc_auc,accuracy,tp,fp,fn,tn,threshold,n_test,n_test_fraud
2026-08-26T10:00:05+00:00,xgboost,drift_sliding_block4,none,phase4 drift,0.9111111111111111,0.6949152542372882,0.7884615384615384,0.7574120993238905,0.795540559568757,0.973484464665208,0.9996458239423015,41,4,18,62053,0.5,62116,59
2026-08-26T10:00:06+00:00,xgboost,drift_sliding_block5,none,phase4 drift,0.9807692307692307,0.6710526315789473,0.796875,0.8068828897711567,0.811079586564193,0.9869184558296527,0.9995645182902319,51,1,25,59627,0.5,59704,76
2026-08-26T10:01:30+00:00,xgboost,drift_static_block2,none,phase4 drift,0.9642857142857143,0.6666666666666666,0.7883211678832117,0.7779741703819354,0.8015951295464081,0.9524004154330918,0.9995603329340954,54,2,27,65876,0.5,65959,81
2026-08-26T10:01:31+00:00,xgboost,drift_static_block3,none,phase4 drift,0.7868852459016393,0.7272727272727273,0.7559055118110236,0.8006682481959683,0.755616683566795,0.9880369639826643,0.99824581258488,48,13,18,17593,0.5,17672,66
2026-08-26T10:01:32+00:00,xgboost,drift_static_block4,none,phase4 drift,0.7166666666666667,0.7288135593220338,0.7226890756302521,0.7328480501538942,0.7224487654742161,0.9730086855632725,0.9994687359134522,43,17,16,62040,0.5,62116,59
2026-08-26T10:01:33+00:00,xgboost,drift_static_block5,none,phase4 drift,0.8028169014084507,0.75,0.7755102040816326,0.7811327400146051,0.7756837607022906,0.9682143323694625,0.999447273214525,57,14,19,59614,0.5,59704,76
2026-08-26T10:01:51+00:00,xgboost,drift_expanding_block2,none,phase4 drift,0.9642857142857143,0.6666666666666666,0.7883211678832117,0.7779741703819354,0.8015951295464081,0.9524004154330918,0.9995603329340954,54,2,27,65876,0.5,65959,81
2026-08-26T10:01:52+00:00,xgboost,drift_expanding_block3,none,phase4 drift,0.8225806451612904,0.7727272727272727,0.796875,0.797476261942099,0.796529279198457,0.9885343839393594,0.9985287460389316,51,11,15,17595,0.5,17672,66
2026-08-26T10:01:53+00:00,xgboost,drift_expanding_block4,none,phase4 drift,0.8958333333333334,0.7288135593220338,0.8037383177570093,0.7772163957320253,0.8078585568447585,0.9830429269100059,0.9996619228540151,43,5,16,62052,0.5,62116,59
2026-08-26T10:01:56+00:00,xgboost,drift_expanding_block5,none,phase4 drift,0.9473684210526315,0.7105263157894737,0.8120300751879699,0.8026435614125171,0.8202563504022174,0.987757429395586,0.9995812675867614,54,3,22,59625,0.5,59704,76
